mm_zf_xp_gene	mm_gene	zf_gene	xp_gene
mm_zf_xp_369	ENSMUSG00000045259	ENSDARG00000058127	klhdc9-like
mm_zf_xp_370	ENSMUSG00000006412	ENSDARG00000025391	pfdn2
mm_zf_xp_371	ENSMUSG00000013997	ENSDARG00000070116	nit1-like
mm_zf_xp_372	ENSMUSG00000013973	ENSDARG00000029783	dedd
mm_zf_xp_373	ENSMUSG00000062963	ENSDARG00000022340	NA
mm_zf_xp_374	ENSMUSG00000053483	ENSDARG00000094280	usp21
mm_zf_xp_375	ENSMUSG00000062729	ENSDARG00000102167	ppox
mm_zf_xp_376	ENSMUSG00000052423	ENSDARG00000062329	NA
mm_zf_xp_377	ENSMUSG00000006403	NA	adamts4-like
mm_zf_xp_378	ENSMUSG00000013593	ENSDARG00000007526	ndufs2
mm_zf_xp_379	ENSMUSG00000058715	ENSDARG00000077240	NA
mm_zf_xp_380	ENSMUSG00000005674	NA	tomm40l
mm_zf_xp_381	ENSMUSG00000038370	NA	pcp4l1
mm_zf_xp_382	ENSMUSG00000056569	ENSDARG00000038609	mpz
mm_zf_xp_383	ENSMUSG00000058076	ENSDARG00000038608	NA
mm_zf_xp_384	ENSMUSG00000026649	ENSDARG00000070868	LOC100495280
mm_zf_xp_385	ENSMUSG00000059498	ENSDARG00000071463	NA
mm_zf_xp_386	ENSMUSG00000059498	ENSDARG00000097702	NA
mm_zf_xp_387	ENSMUSG00000026656	ENSDARG00000071463	NA
mm_zf_xp_388	ENSMUSG00000026656	ENSDARG00000097702	NA
mm_zf_xp_389	ENSMUSG00000059089	ENSDARG00000071463	NA
mm_zf_xp_390	ENSMUSG00000059089	ENSDARG00000097702	NA
mm_zf_xp_391	ENSMUSG00000059498	ENSDARG00000071463	NA
mm_zf_xp_392	ENSMUSG00000059498	ENSDARG00000097702	NA
mm_zf_xp_393	ENSMUSG00000026656	ENSDARG00000071463	NA
mm_zf_xp_394	ENSMUSG00000026656	ENSDARG00000097702	NA
mm_zf_xp_395	ENSMUSG00000059089	ENSDARG00000071463	NA
mm_zf_xp_396	ENSMUSG00000059089	ENSDARG00000097702	NA
mm_zf_xp_397	ENSMUSG00000059498	ENSDARG00000071463	NA
mm_zf_xp_398	ENSMUSG00000059498	ENSDARG00000097702	NA
mm_zf_xp_399	ENSMUSG00000026656	ENSDARG00000071463	NA
mm_zf_xp_400	ENSMUSG00000026656	ENSDARG00000097702	NA
mm_zf_xp_401	ENSMUSG00000026659	ENSDARG00000076330	dusp12
mm_zf_xp_402	ENSMUSG00000026663	ENSDARG00000012656	atf6
mm_zf_xp_403	ENSMUSG00000038463	ENSDARG00000021480	olfml2b-like
mm_zf_xp_404	ENSMUSG00000038463	ENSDARG00000005716	olfml2b-like
mm_zf_xp_405	ENSMUSG00000038473	NA	LOC100488020
mm_zf_xp_406	ENSMUSG00000038473	NA	nos1ap
mm_zf_xp_407	ENSMUSG00000073494	ENSDARG00000001442	LOC100486929
mm_zf_xp_408	ENSMUSG00000102418	ENSDARG00000001442	LOC100486929
mm_zf_xp_409	ENSMUSG00000026667	ENSDARG00000059575	NA
mm_zf_xp_410	ENSMUSG00000026670	ENSDARG00000052170	uap1
mm_zf_xp_411	ENSMUSG00000026674	ENSDARG00000100693	LOC100497889-like
mm_zf_xp_412	ENSMUSG00000026674	ENSDARG00000100693	ddr2
mm_zf_xp_413	ENSMUSG00000026675	ENSDARG00000088140	hsd17b7
mm_zf_xp_414	ENSMUSG00000070532	NA	LOC100497256-like
mm_zf_xp_415	ENSMUSG00000038530	ENSDARG00000070047	rgs4
mm_zf_xp_416	ENSMUSG00000026678	ENSDARG00000002644	rgs5
mm_zf_xp_417	ENSMUSG00000026683	ENSDARG00000034624	NA
mm_zf_xp_418	ENSMUSG00000052534	NA	pbx1
mm_zf_xp_419	ENSMUSG00000026686	ENSDARG00000077915	lmx1a
mm_zf_xp_420	ENSMUSG00000015843	ENSDARG00000004697	NA
mm_zf_xp_421	ENSMUSG00000040485	NA	lrrc52
mm_zf_xp_422	ENSMUSG00000026688	ENSDARG00000102744	mgst3
mm_zf_xp_423	ENSMUSG00000052428	ENSDARG00000069099	tmco1
mm_zf_xp_424	ENSMUSG00000026558	ENSDARG00000022213	uck2
mm_zf_xp_425	ENSMUSG00000026558	ENSDARG00000006074	uck2
mm_zf_xp_426	ENSMUSG00000060568	ENSDARG00000063018	fam78b
mm_zf_xp_427	ENSMUSG00000060568	ENSDARG00000113552	fam78b
mm_zf_xp_428	ENSMUSG00000026563	ENSDARG00000100031	tada1
mm_zf_xp_429	ENSMUSG00000040612	ENSDARG00000014180	ildr2
mm_zf_xp_430	ENSMUSG00000040629	NA	mael
mm_zf_xp_431	ENSMUSG00000000544	ENSDARG00000040898	NA
mm_zf_xp_432	ENSMUSG00000026564	ENSDARG00000099889	NA
mm_zf_xp_433	ENSMUSG00000026565	ENSDARG00000007996	pou2f1
mm_zf_xp_434	ENSMUSG00000040713	ENSDARG00000105154	creg1-like
mm_zf_xp_435	ENSMUSG00000040723	ENSDARG00000059774	rcsd1
mm_zf_xp_436	ENSMUSG00000040723	ENSDARG00000099645	rcsd1
mm_zf_xp_437	ENSMUSG00000026566	ENSDARG00000059048	mpzl1-like
mm_zf_xp_438	ENSMUSG00000026568	ENSDARG00000024478	mpc2
mm_zf_xp_439	ENSMUSG00000026568	ENSDARG00000037679	mpc2
mm_zf_xp_440	ENSMUSG00000026571	ENSDARG00000078311	NA
mm_zf_xp_441	ENSMUSG00000040836	ENSDARG00000058903	gpr161
mm_zf_xp_442	ENSMUSG00000040836	ENSDARG00000058903	Xetrov90013826m
mm_zf_xp_443	ENSMUSG00000040836	ENSDARG00000055659	gpr161
mm_zf_xp_444	ENSMUSG00000040836	ENSDARG00000055659	Xetrov90013826m
mm_zf_xp_445	ENSMUSG00000040843	ENSDARG00000032353	tiprl
mm_zf_xp_446	ENSMUSG00000040848	NA	sft2d2
mm_zf_xp_447	ENSMUSG00000026572	ENSDARG00000079187	NA
mm_zf_xp_448	ENSMUSG00000026573	NA	LOC100493953
mm_zf_xp_449	ENSMUSG00000026574	ENSDARG00000056178	NA
mm_zf_xp_450	ENSMUSG00000026576	ENSDARG00000076833	atp1b1
mm_zf_xp_451	ENSMUSG00000026576	ENSDARG00000013144	atp1b1
mm_zf_xp_452	ENSMUSG00000026575	ENSDARG00000056193	nme7
mm_zf_xp_453	ENSMUSG00000026577	ENSDARG00000011299	blzf1
mm_zf_xp_454	ENSMUSG00000026578	ENSDARG00000062021	Xetrov90005170m
mm_zf_xp_455	ENSMUSG00000040918	ENSDARG00000059712	NA
mm_zf_xp_456	ENSMUSG00000026579	ENSDARG00000055705	Xetrov90028092m
mm_zf_xp_457	ENSMUSG00000026579	ENSDARG00000055705	f5
mm_zf_xp_458	ENSMUSG00000026579	ENSDARG00000055705	Xetrov90021842m
mm_zf_xp_459	ENSMUSG00000041406	ENSDARG00000042120	NA
mm_zf_xp_460	ENSMUSG00000026582	NA	Xetrov90012340m
mm_zf_xp_461	ENSMUSG00000026582	NA	Xetrov90012339m
mm_zf_xp_462	ENSMUSG00000041396	ENSDARG00000074588	mettl18
mm_zf_xp_463	ENSMUSG00000026584	ENSDARG00000027046	scyl3
mm_zf_xp_464	ENSMUSG00000026585	ENSDARG00000006862	kifap3
mm_zf_xp_465	ENSMUSG00000026585	ENSDARG00000008639	kifap3
mm_zf_xp_466	ENSMUSG00000040113	ENSDARG00000042033	mettl11b
mm_zf_xp_467	ENSMUSG00000040124	ENSDARG00000042031	gorab-like
mm_zf_xp_468	ENSMUSG00000026586	ENSDARG00000042027	prrx1
mm_zf_xp_469	ENSMUSG00000026586	ENSDARG00000033971	prrx1
mm_zf_xp_470	ENSMUSG00000026691	NA	fmo3
mm_zf_xp_471	ENSMUSG00000040225	ENSDARG00000057583	prrc2c
mm_zf_xp_472	ENSMUSG00000026697	ENSDARG00000021789	myoc
mm_zf_xp_473	ENSMUSG00000026696	ENSDARG00000043510	vamp4
mm_zf_xp_474	ENSMUSG00000026694	ENSDARG00000010905	NA
mm_zf_xp_475	ENSMUSG00000040265	NA	dnm3
mm_zf_xp_476	ENSMUSG00000026698	ENSDARG00000009113	NA
mm_zf_xp_477	ENSMUSG00000040297	ENSDARG00000016532	suco-like
mm_zf_xp_478	ENSMUSG00000000817	ENSDARG00000098913	faslg
mm_zf_xp_479	ENSMUSG00000044835	ENSDARG00000011326	NA
mm_zf_xp_480	ENSMUSG00000044835	ENSDARG00000011326	NA
mm_zf_xp_481	ENSMUSG00000026705	ENSDARG00000038801	klhl20
mm_zf_xp_482	ENSMUSG00000026708	ENSDARG00000038802	cenpl
mm_zf_xp_483	ENSMUSG00000026709	ENSDARG00000060861	dars2-like
mm_zf_xp_484	ENSMUSG00000026709	ENSDARG00000060861	LOC101734189
mm_zf_xp_485	ENSMUSG00000043467	ENSDARG00000042689	zbtb37
mm_zf_xp_486	ENSMUSG00000026715	ENSDARG00000042684	serpinc1
mm_zf_xp_487	ENSMUSG00000040423	ENSDARG00000062550	rc3h1-like
mm_zf_xp_488	ENSMUSG00000026721	ENSDARG00000060315	rabgap1l
mm_zf_xp_489	ENSMUSG00000026721	ENSDARG00000061757	rabgap1l
mm_zf_xp_490	ENSMUSG00000014226	ENSDARG00000014731	cacybp
mm_zf_xp_491	ENSMUSG00000058267	ENSDARG00000068305	mrps14
mm_zf_xp_492	ENSMUSG00000026725	NA	tnn
mm_zf_xp_493	ENSMUSG00000090394	NA	Xetrov90011965m
mm_zf_xp_494	ENSMUSG00000015829	ENSDARG00000020771	tnr
mm_zf_xp_495	ENSMUSG00000073530	ENSDARG00000076020	pappa2
mm_zf_xp_496	ENSMUSG00000026587	ENSDARG00000068323	astn1
mm_zf_xp_497	ENSMUSG00000004031	ENSDARG00000014302	fam5b
mm_zf_xp_498	ENSMUSG00000004031	ENSDARG00000014302	Xetrov90011972m
mm_zf_xp_499	ENSMUSG00000004031	ENSDARG00000076351	fam5b
mm_zf_xp_500	ENSMUSG00000004031	ENSDARG00000076351	Xetrov90011972m
mm_zf_xp_501	ENSMUSG00000026589	ENSDARG00000099554	sec16b-like
mm_zf_xp_502	ENSMUSG00000070565	ENSDARG00000036257	rasal2-like.2
mm_zf_xp_503	ENSMUSG00000026594	ENSDARG00000026519	ralgps2-like
mm_zf_xp_504	ENSMUSG00000033544	ENSDARG00000012071	angptl1
mm_zf_xp_505	ENSMUSG00000033544	ENSDARG00000100159	angptl1
mm_zf_xp_506	ENSMUSG00000033557	ENSDARG00000008573	fam20b
mm_zf_xp_507	ENSMUSG00000060519	ENSDARG00000079308	tor3a
mm_zf_xp_508	ENSMUSG00000026596	ENSDARG00000013841	abl2
mm_zf_xp_509	ENSMUSG00000026600	ENSDARG00000062297	soat1
mm_zf_xp_510	ENSMUSG00000026601	ENSDARG00000062355	LOC100498160
mm_zf_xp_511	ENSMUSG00000026601	ENSDARG00000062355	LOC101734165
mm_zf_xp_512	ENSMUSG00000026602	ENSDARG00000042850	nphs2
mm_zf_xp_513	ENSMUSG00000060985	NA	tdrd5
mm_zf_xp_514	ENSMUSG00000015484	ENSDARG00000077470	Xetrov90012012m
mm_zf_xp_515	ENSMUSG00000015484	ENSDARG00000093021	Xetrov90012012m
mm_zf_xp_516	ENSMUSG00000050565	ENSDARG00000069102	tor1aip2
mm_zf_xp_517	ENSMUSG00000050565	ENSDARG00000094336	tor1aip2
mm_zf_xp_518	ENSMUSG00000026466	ENSDARG00000069102	tor1aip1-like
mm_zf_xp_519	ENSMUSG00000026466	ENSDARG00000094336	tor1aip1-like
mm_zf_xp_520	ENSMUSG00000033671	ENSDARG00000058000	Xetrov90005357m
mm_zf_xp_521	ENSMUSG00000033671	ENSDARG00000058000	cep350
mm_zf_xp_522	ENSMUSG00000033684	ENSDARG00000039459	qsox1
mm_zf_xp_523	ENSMUSG00000026468	ENSDARG00000039458	lhx4
mm_zf_xp_524	ENSMUSG00000033701	ENSDARG00000039456	acbd6
mm_zf_xp_525	ENSMUSG00000026469	ENSDARG00000062449	xpr1
mm_zf_xp_526	ENSMUSG00000033722	ENSDARG00000071458	LOC100497220-like
mm_zf_xp_527	ENSMUSG00000033722	ENSDARG00000093342	LOC100497220-like
mm_zf_xp_528	ENSMUSG00000026470	ENSDARG00000042742	stx6
mm_zf_xp_529	ENSMUSG00000004110	ENSDARG00000095614	cacna1e
mm_zf_xp_530	ENSMUSG00000004110	ENSDARG00000062346	cacna1e
mm_zf_xp_531	ENSMUSG00000066797	ENSDARG00000104823	NA
mm_zf_xp_532	ENSMUSG00000026473	ENSDARG00000100003	glul-like.2
mm_zf_xp_533	ENSMUSG00000026473	ENSDARG00000100003	LOC100498257
mm_zf_xp_534	ENSMUSG00000026473	ENSDARG00000099776	glul-like.2
mm_zf_xp_535	ENSMUSG00000026473	ENSDARG00000099776	LOC100498257
mm_zf_xp_536	ENSMUSG00000043282	NA	LOC101733726
mm_zf_xp_537	ENSMUSG00000047053	NA	LOC101733726
mm_zf_xp_538	ENSMUSG00000026475	ENSDARG00000070037	rgs16
mm_zf_xp_539	ENSMUSG00000042671	ENSDARG00000070037	rgs8
mm_zf_xp_540	ENSMUSG00000042684	ENSDARG00000009390	npl
mm_zf_xp_541	ENSMUSG00000042699	ENSDARG00000079725	dhx9
mm_zf_xp_542	ENSMUSG00000026478	ENSDARG00000068288	lamc1
mm_zf_xp_543	ENSMUSG00000026479	NA	lamc2
mm_zf_xp_544	ENSMUSG00000042751	ENSDARG00000004580	nmnat2
mm_zf_xp_545	ENSMUSG00000042772	ENSDARG00000060767	smg7
mm_zf_xp_546	ENSMUSG00000026480	ENSDARG00000005821	ncf2
mm_zf_xp_547	ENSMUSG00000008475	ENSDARG00000019062	NA
mm_zf_xp_548	ENSMUSG00000008475	ENSDARG00000039142	NA
mm_zf_xp_549	ENSMUSG00000026482	ENSDARG00000005989	Xetrov90009743m
mm_zf_xp_550	ENSMUSG00000055547	NA	apobec2
mm_zf_xp_551	ENSMUSG00000055547	NA	apobec4
mm_zf_xp_552	ENSMUSG00000032649	ENSDARG00000014670	LOC101734319
mm_zf_xp_553	ENSMUSG00000032649	ENSDARG00000078299	LOC101734319
mm_zf_xp_554	ENSMUSG00000014980	ENSDARG00000069280	tsen15
mm_zf_xp_555	ENSMUSG00000032666	ENSDARG00000098592	NA
mm_zf_xp_556	ENSMUSG00000032666	ENSDARG00000029292	NA
mm_zf_xp_557	ENSMUSG00000043019	ENSDARG00000074129	edem3-like
mm_zf_xp_558	ENSMUSG00000026484	ENSDARG00000010381	rnf2
mm_zf_xp_559	ENSMUSG00000053286	ENSDARG00000042057	trmt1l-like
mm_zf_xp_560	ENSMUSG00000052748	ENSDARG00000094010	NA
mm_zf_xp_561	ENSMUSG00000023150	ENSDARG00000031100	Xetrov90012236m
mm_zf_xp_562	ENSMUSG00000023150	ENSDARG00000013946	Xetrov90012236m
mm_zf_xp_563	ENSMUSG00000066842	ENSDARG00000016936	hmcn1
mm_zf_xp_564	ENSMUSG00000006014	ENSDARG00000028163	Xetrov90028039m
mm_zf_xp_565	ENSMUSG00000006014	ENSDARG00000028163	Xetrov90016658m
mm_zf_xp_566	ENSMUSG00000006014	ENSDARG00000028163	Xetrov90012928m
mm_zf_xp_567	ENSMUSG00000006014	ENSDARG00000028163	Xetrov90000250m
mm_zf_xp_568	ENSMUSG00000006014	ENSDARG00000028163	Xetrov90022492m
mm_zf_xp_569	ENSMUSG00000006014	ENSDARG00000028163	Xetrov90029741m
mm_zf_xp_570	ENSMUSG00000006014	ENSDARG00000028163	Xetrov90006958m
mm_zf_xp_571	ENSMUSG00000006014	ENSDARG00000028163	Xetrov90020277m
mm_zf_xp_572	ENSMUSG00000006014	ENSDARG00000010482	Xetrov90028039m
mm_zf_xp_573	ENSMUSG00000006014	ENSDARG00000010482	Xetrov90016658m
mm_zf_xp_574	ENSMUSG00000006014	ENSDARG00000010482	Xetrov90012928m
mm_zf_xp_575	ENSMUSG00000006014	ENSDARG00000010482	Xetrov90000250m
mm_zf_xp_576	ENSMUSG00000006014	ENSDARG00000010482	Xetrov90022492m
mm_zf_xp_577	ENSMUSG00000006014	ENSDARG00000010482	Xetrov90029741m
mm_zf_xp_578	ENSMUSG00000006014	ENSDARG00000010482	Xetrov90006958m
mm_zf_xp_579	ENSMUSG00000006014	ENSDARG00000010482	Xetrov90020277m
mm_zf_xp_580	ENSMUSG00000006005	ENSDARG00000016630	LOC101731806
mm_zf_xp_581	ENSMUSG00000006005	ENSDARG00000016630	Xetrov90030264m
mm_zf_xp_582	ENSMUSG00000006005	ENSDARG00000103004	LOC101731806
mm_zf_xp_583	ENSMUSG00000006005	ENSDARG00000103004	Xetrov90030264m
mm_zf_xp_584	ENSMUSG00000006010	NA	c1orf27-like
mm_zf_xp_585	ENSMUSG00000006007	ENSDARG00000017634	pdc
mm_zf_xp_586	ENSMUSG00000006007	ENSDARG00000011886	pdc
mm_zf_xp_587	ENSMUSG00000032487	ENSDARG00000004539	ptgs2
mm_zf_xp_588	ENSMUSG00000032487	ENSDARG00000010276	ptgs2
mm_zf_xp_589	ENSMUSG00000056220	ENSDARG00000017141	pla2g4a
mm_zf_xp_590	ENSMUSG00000056220	ENSDARG00000024546	pla2g4a
mm_zf_xp_591	ENSMUSG00000035131	NA	fam5c
mm_zf_xp_592	ENSMUSG00000035131	NA	Xetrov90012314m
mm_zf_xp_593	ENSMUSG00000035131	NA	Xetrov90012315m
mm_zf_xp_594	ENSMUSG00000026357	NA	rgs18
mm_zf_xp_595	ENSMUSG00000098509	ENSDARG00000028276	NA
mm_zf_xp_596	ENSMUSG00000026358	ENSDARG00000089077	rgs1
mm_zf_xp_597	ENSMUSG00000051079	ENSDARG00000017653	rgs13
mm_zf_xp_598	ENSMUSG00000026360	ENSDARG00000098761	rgs2
mm_zf_xp_599	ENSMUSG00000018189	ENSDARG00000103404	NA
mm_zf_xp_600	ENSMUSG00000026361	ENSDARG00000020201	cdc73
mm_zf_xp_601	ENSMUSG00000033849	ENSDARG00000102061	b3galt2-like.1
mm_zf_xp_602	ENSMUSG00000033849	ENSDARG00000102061	Xetrov90009704m
mm_zf_xp_603	ENSMUSG00000033849	ENSDARG00000102061	LOC100486103
mm_zf_xp_604	ENSMUSG00000033849	ENSDARG00000102061	LOC101734266
mm_zf_xp_605	ENSMUSG00000033849	ENSDARG00000102061	LOC101732799-like
mm_zf_xp_606	ENSMUSG00000033849	ENSDARG00000102061	LOC100489278-like
mm_zf_xp_607	ENSMUSG00000033849	ENSDARG00000102061	LOC100485652
mm_zf_xp_608	ENSMUSG00000033849	ENSDARG00000102061	b3galt2-like.2
mm_zf_xp_609	ENSMUSG00000033849	ENSDARG00000102061	LOC100486246
mm_zf_xp_610	ENSMUSG00000033849	ENSDARG00000102061	LOC100490105
mm_zf_xp_611	ENSMUSG00000033849	ENSDARG00000102061	LOC101733959
mm_zf_xp_612	ENSMUSG00000033849	ENSDARG00000102061	Xetrov90009712m
mm_zf_xp_613	ENSMUSG00000052726	ENSDARG00000075812	LOC100491762
mm_zf_xp_614	ENSMUSG00000052726	ENSDARG00000075812	Xetrov90009719m
mm_zf_xp_615	ENSMUSG00000057037	NA	f13b-like
mm_zf_xp_616	ENSMUSG00000057037	NA	LOC100496324
mm_zf_xp_617	ENSMUSG00000026368	ENSDARG00000105052	Xetrov90012220m
mm_zf_xp_618	ENSMUSG00000026368	ENSDARG00000105052	LOC100497803-like
mm_zf_xp_619	ENSMUSG00000026368	ENSDARG00000105052	Xetrov90012222m
mm_zf_xp_620	ENSMUSG00000026368	ENSDARG00000105052	LOC100497957-like
mm_zf_xp_621	ENSMUSG00000026368	ENSDARG00000105052	LOC101731666
mm_zf_xp_622	ENSMUSG00000026368	ENSDARG00000105052	LOC100497496-like
mm_zf_xp_623	ENSMUSG00000026368	ENSDARG00000040944	Xetrov90012220m
mm_zf_xp_624	ENSMUSG00000026368	ENSDARG00000040944	LOC100497803-like
mm_zf_xp_625	ENSMUSG00000026368	ENSDARG00000040944	Xetrov90012222m
mm_zf_xp_626	ENSMUSG00000026368	ENSDARG00000040944	LOC100497957-like
mm_zf_xp_627	ENSMUSG00000026368	ENSDARG00000040944	LOC101731666
mm_zf_xp_628	ENSMUSG00000026368	ENSDARG00000040944	LOC100497496-like
mm_zf_xp_629	ENSMUSG00000026368	ENSDARG00000101353	Xetrov90012220m
mm_zf_xp_630	ENSMUSG00000026368	ENSDARG00000101353	LOC100497803-like
mm_zf_xp_631	ENSMUSG00000026368	ENSDARG00000101353	Xetrov90012222m
mm_zf_xp_632	ENSMUSG00000026368	ENSDARG00000101353	LOC100497957-like
mm_zf_xp_633	ENSMUSG00000026368	ENSDARG00000101353	LOC101731666
mm_zf_xp_634	ENSMUSG00000026368	ENSDARG00000101353	LOC100497496-like
mm_zf_xp_635	ENSMUSG00000026368	ENSDARG00000056075	Xetrov90012220m
mm_zf_xp_636	ENSMUSG00000026368	ENSDARG00000056075	LOC100497803-like
mm_zf_xp_637	ENSMUSG00000026368	ENSDARG00000056075	Xetrov90012222m
mm_zf_xp_638	ENSMUSG00000026368	ENSDARG00000056075	LOC100497957-like
mm_zf_xp_639	ENSMUSG00000026368	ENSDARG00000056075	LOC101731666
mm_zf_xp_640	ENSMUSG00000026368	ENSDARG00000056075	LOC100497496-like
mm_zf_xp_641	ENSMUSG00000026368	ENSDARG00000100442	Xetrov90012220m
mm_zf_xp_642	ENSMUSG00000026368	ENSDARG00000100442	LOC100497803-like
mm_zf_xp_643	ENSMUSG00000026368	ENSDARG00000100442	Xetrov90012222m
mm_zf_xp_644	ENSMUSG00000026368	ENSDARG00000100442	LOC100497957-like
mm_zf_xp_645	ENSMUSG00000026368	ENSDARG00000100442	LOC101731666
mm_zf_xp_646	ENSMUSG00000026368	ENSDARG00000100442	LOC100497496-like
mm_zf_xp_647	ENSMUSG00000026368	ENSDARG00000104205	Xetrov90012220m
mm_zf_xp_648	ENSMUSG00000026368	ENSDARG00000104205	LOC100497803-like
mm_zf_xp_649	ENSMUSG00000026368	ENSDARG00000104205	Xetrov90012222m
mm_zf_xp_650	ENSMUSG00000026368	ENSDARG00000104205	LOC100497957-like
mm_zf_xp_651	ENSMUSG00000026368	ENSDARG00000104205	LOC101731666
mm_zf_xp_652	ENSMUSG00000026368	ENSDARG00000104205	LOC100497496-like
mm_zf_xp_653	ENSMUSG00000026368	ENSDARG00000103760	Xetrov90012220m
mm_zf_xp_654	ENSMUSG00000026368	ENSDARG00000103760	LOC100497803-like
mm_zf_xp_655	ENSMUSG00000026368	ENSDARG00000103760	Xetrov90012222m
mm_zf_xp_656	ENSMUSG00000026368	ENSDARG00000103760	LOC100497957-like
mm_zf_xp_657	ENSMUSG00000026368	ENSDARG00000103760	LOC101731666
mm_zf_xp_658	ENSMUSG00000026368	ENSDARG00000103760	LOC100497496-like
mm_zf_xp_659	ENSMUSG00000026368	ENSDARG00000105212	Xetrov90012220m
mm_zf_xp_660	ENSMUSG00000026368	ENSDARG00000105212	LOC100497803-like
mm_zf_xp_661	ENSMUSG00000026368	ENSDARG00000105212	Xetrov90012222m
mm_zf_xp_662	ENSMUSG00000026368	ENSDARG00000105212	LOC100497957-like
mm_zf_xp_663	ENSMUSG00000026368	ENSDARG00000105212	LOC101731666
mm_zf_xp_664	ENSMUSG00000026368	ENSDARG00000105212	LOC100497496-like
mm_zf_xp_665	ENSMUSG00000026368	ENSDARG00000095512	Xetrov90012220m
mm_zf_xp_666	ENSMUSG00000026368	ENSDARG00000095512	LOC100497803-like
mm_zf_xp_667	ENSMUSG00000026368	ENSDARG00000095512	Xetrov90012222m
mm_zf_xp_668	ENSMUSG00000026368	ENSDARG00000095512	LOC100497957-like
mm_zf_xp_669	ENSMUSG00000026368	ENSDARG00000095512	LOC101731666
mm_zf_xp_670	ENSMUSG00000026368	ENSDARG00000095512	LOC100497496-like
mm_zf_xp_671	ENSMUSG00000026368	ENSDARG00000102456	Xetrov90012220m
mm_zf_xp_672	ENSMUSG00000026368	ENSDARG00000102456	LOC100497803-like
mm_zf_xp_673	ENSMUSG00000026368	ENSDARG00000102456	Xetrov90012222m
mm_zf_xp_674	ENSMUSG00000026368	ENSDARG00000102456	LOC100497957-like
mm_zf_xp_675	ENSMUSG00000026368	ENSDARG00000102456	LOC101731666
mm_zf_xp_676	ENSMUSG00000026368	ENSDARG00000102456	LOC100497496-like
mm_zf_xp_677	ENSMUSG00000033952	ENSDARG00000103754	Xetrov90012190m
mm_zf_xp_678	ENSMUSG00000033964	ENSDARG00000054984	zbtb41
mm_zf_xp_679	ENSMUSG00000063681	ENSDARG00000100506	crb1
mm_zf_xp_680	ENSMUSG00000056268	ENSDARG00000101868	NA
mm_zf_xp_681	ENSMUSG00000079283	ENSDARG00000071439	NA
mm_zf_xp_682	ENSMUSG00000019230	ENSDARG00000056979	lhx9
mm_zf_xp_683	ENSMUSG00000026393	ENSDARG00000056966	nek7
mm_zf_xp_684	ENSMUSG00000026395	NA	ptprc
mm_zf_xp_685	ENSMUSG00000026398	ENSDARG00000100940	nr5a1
mm_zf_xp_686	ENSMUSG00000041483	ENSDARG00000000567	znf281
mm_zf_xp_687	ENSMUSG00000041483	ENSDARG00000035910	znf281
mm_zf_xp_688	ENSMUSG00000041498	ENSDARG00000062187	Xetrov90012200m
mm_zf_xp_689	ENSMUSG00000026404	ENSDARG00000022177	NA
mm_zf_xp_690	ENSMUSG00000041570	ENSDARG00000059965	Xetrov90012204m
mm_zf_xp_691	ENSMUSG00000041570	ENSDARG00000062173	Xetrov90012204m
mm_zf_xp_692	ENSMUSG00000052759	ENSDARG00000057112	gpr25
mm_zf_xp_693	ENSMUSG00000041642	ENSDARG00000009733	kif21b-like
mm_zf_xp_694	ENSMUSG00000026407	ENSDARG00000042552	LOC100496252
mm_zf_xp_695	ENSMUSG00000026407	ENSDARG00000042552	LOC100485035
mm_zf_xp_696	ENSMUSG00000026407	ENSDARG00000029457	LOC100496252
mm_zf_xp_697	ENSMUSG00000026407	ENSDARG00000029457	LOC100485035
mm_zf_xp_698	ENSMUSG00000026411	ENSDARG00000055757	NA
mm_zf_xp_699	ENSMUSG00000026413	ENSDARG00000052705	pkp1
mm_zf_xp_700	ENSMUSG00000026413	ENSDARG00000090598	pkp1
mm_zf_xp_701	ENSMUSG00000026414	ENSDARG00000100694	NA
mm_zf_xp_702	ENSMUSG00000026414	ENSDARG00000020610	NA
mm_zf_xp_703	ENSMUSG00000041782	NA	Xetrov90025787m
mm_zf_xp_704	ENSMUSG00000041782	NA	lad1
mm_zf_xp_705	ENSMUSG00000041782	NA	Xetrov90015108m
mm_zf_xp_706	ENSMUSG00000026418	ENSDARG00000000474	tnni1
mm_zf_xp_707	ENSMUSG00000026418	ENSDARG00000052708	tnni1
mm_zf_xp_708	ENSMUSG00000041801	ENSDARG00000037804	NA
mm_zf_xp_709	ENSMUSG00000026421	ENSDARG00000030980	csrp1
mm_zf_xp_710	ENSMUSG00000026421	ENSDARG00000006603	csrp1
mm_zf_xp_711	ENSMUSG00000009418	ENSDARG00000058771	nav1
mm_zf_xp_712	ENSMUSG00000041879	ENSDARG00000016753	ipo9
mm_zf_xp_713	ENSMUSG00000041889	ENSDARG00000006307	NA
mm_zf_xp_714	ENSMUSG00000048096	ENSDARG00000056111	lmod1-like
mm_zf_xp_715	ENSMUSG00000048096	ENSDARG00000077261	lmod1-like
mm_zf_xp_716	ENSMUSG00000062580	ENSDARG00000029510	NA
mm_zf_xp_717	ENSMUSG00000041926	ENSDARG00000012506	rnpep
mm_zf_xp_718	ENSMUSG00000003051	ENSDARG00000077982	elf3
mm_zf_xp_719	ENSMUSG00000026424	ENSDARG00000006079	gpr37l1
